publish_time,publish_time_key,year,month,day
2017-06-23,20170623,2017,6,23
2017-11-10,20171110,2017,11,10
2016-04-28,20160428,2016,4,28
2017-09-02,20170902,2017,9,2
2017-09-12,20170912,2017,9,12
2018-03-15,20180315,2018,3,15
2018-01-06,20180106,2018,1,6
2018-05-06,20180506,2018,5,6
2017-11-04,20171104,2017,11,4
2017-10-12,20171012,2017,10,12
2010-05-11,20100511,2010,5,11
2014-04-22,20140422,2014,4,22
2010-09-25,20100925,2010,9,25
2018-05-03,20180503,2018,5,3
2017-07-24,20170724,2017,7,24
2017-05-25,20170525,2017,5,25
2013-03-12,20130312,2013,3,12
2018-04-28,20180428,2018,4,28
2017-10-03,20171003,2017,10,3
2014-12-05,20141205,2014,12,5
2015-10-31,20151031,2015,10,31
2014-05-22,20140522,2014,5,22
2017-09-17,20170917,2017,9,17
2018-03-07,20180307,2018,3,7
2012-01-02,20120102,2012,1,2
2014-01-30,20140130,2014,1,30
2010-01-03,20100103,2010,1,3
2015-11-13,20151113,2015,11,13
2012-12-04,20121204,2012,12,4
2017-08-15,20170815,2017,8,15
2017-11-20,20171120,2017,11,20
2018-06-13,20180613,2018,6,13
2017-05-18,20170518,2017,5,18
2017-07-19,20170719,2017,7,19
2016-02-24,20160224,2016,2,24
2017-11-11,20171111,2017,11,11
2018-02-28,20180228,2018,2,28
2018-05-10,20180510,2018,5,10
2006-07-23,20060723,2006,7,23
2008-01-13,20080113,2008,1,13
2014-06-28,20140628,2014,6,28
2017-07-01,20170701,2017,7,1
2017-03-31,20170331,2017,3,31
2018-04-23,20180423,2018,4,23
2016-04-05,20160405,2016,4,5
2009-03-10,20090310,2009,3,10
2017-09-09,20170909,2017,9,9
2018-03-22,20180322,2018,3,22
2017-07-29,20170729,2017,7,29
2017-02-20,20170220,2017,2,20
2016-10-08,20161008,2016,10,8
2014-09-29,20140929,2014,9,29
2018-02-19,20180219,2018,2,19
2017-01-18,20170118,2017,1,18
2017-02-19,20170219,2017,2,19
2017-09-13,20170913,2017,9,13
2009-02-13,20090213,2009,2,13
2017-11-28,20171128,2017,11,28
2017-11-02,20171102,2017,11,2
2009-11-29,20091129,2009,11,29
2008-06-17,20080617,2008,6,17
2016-12-08,20161208,2016,12,8
2017-10-21,20171021,2017,10,21
2017-09-07,20170907,2017,9,7
2012-02-13,20120213,2012,2,13
2013-10-25,20131025,2013,10,25
2018-02-07,20180207,2018,2,7
2018-05-25,20180525,2018,5,25
2017-10-15,20171015,2017,10,15
2017-04-16,20170416,2017,4,16
2016-03-05,20160305,2016,3,5
2008-12-19,20081219,2008,12,19
2018-03-31,20180331,2018,3,31
2012-09-06,20120906,2012,9,6
2018-01-01,20180101,2018,1,1
2018-05-11,20180511,2018,5,11
2017-09-30,20170930,2017,9,30
2011-05-29,20110529,2011,5,29
2018-02-06,20180206,2018,2,6
2018-04-24,20180424,2018,4,24
2018-05-20,20180520,2018,5,20
2017-04-13,20170413,2017,4,13
2011-09-29,20110929,2011,9,29
2018-04-25,20180425,2018,4,25
2013-07-31,20130731,2013,7,31
2015-03-10,20150310,2015,3,10
2010-10-29,20101029,2010,10,29
2017-03-25,20170325,2017,3,25
2015-10-05,20151005,2015,10,5
2016-12-28,20161228,2016,12,28
2017-07-20,20170720,2017,7,20
2011-08-19,20110819,2011,8,19
2011-10-25,20111025,2011,10,25
2018-04-21,20180421,2018,4,21
2018-06-07,20180607,2018,6,7
2012-09-13,20120913,2012,9,13
2018-02-20,20180220,2018,2,20
2018-04-10,20180410,2018,4,10
2018-05-22,20180522,2018,5,22
2017-10-20,20171020,2017,10,20
2013-10-20,20131020,2013,10,20
2015-02-22,20150222,2015,2,22
2016-12-01,20161201,2016,12,1
2018-04-11,20180411,2018,4,11
2012-06-11,20120611,2012,6,11
2017-08-02,20170802,2017,8,2
2018-01-26,20180126,2018,1,26
2018-06-11,20180611,2018,6,11
2017-08-23,20170823,2017,8,23
2016-02-01,20160201,2016,2,1
2017-09-01,20170901,2017,9,1
2017-11-19,20171119,2017,11,19
2017-11-21,20171121,2017,11,21
2018-01-24,20180124,2018,1,24
2018-03-02,20180302,2018,3,2
2018-03-27,20180327,2018,3,27
2018-04-01,20180401,2018,4,1
2018-05-02,20180502,2018,5,2
2016-07-22,20160722,2016,7,22
2016-11-11,20161111,2016,11,11
2008-08-07,20080807,2008,8,7
2017-12-16,20171216,2017,12,16
2015-03-25,20150325,2015,3,25
2017-11-09,20171109,2017,11,9
2018-04-27,20180427,2018,4,27
2017-10-31,20171031,2017,10,31
2014-06-07,20140607,2014,6,7
2015-11-09,20151109,2015,11,9
2015-01-18,20150118,2015,1,18
2017-03-14,20170314,2017,3,14
2015-03-29,20150329,2015,3,29
2008-04-05,20080405,2008,4,5
2013-03-10,20130310,2013,3,10
2018-01-30,20180130,2018,1,30
2010-02-15,20100215,2010,2,15
2011-05-09,20110509,2011,5,9
2017-12-01,20171201,2017,12,1
2013-05-06,20130506,2013,5,6
2016-05-18,20160518,2016,5,18
2017-11-24,20171124,2017,11,24
2018-03-21,20180321,2018,3,21
2014-11-18,20141118,2014,11,18
2014-04-06,20140406,2014,4,6
2018-03-12,20180312,2018,3,12
2017-05-01,20170501,2017,5,1
2016-06-20,20160620,2016,6,20
2018-03-03,20180303,2018,3,3
2017-08-26,20170826,2017,8,26
2017-06-24,20170624,2017,6,24
2012-12-31,20121231,2012,12,31
2018-01-31,20180131,2018,1,31
2016-08-28,20160828,2016,8,28
2009-12-15,20091215,2009,12,15
2017-05-15,20170515,2017,5,15
2014-03-24,20140324,2014,3,24
2016-09-11,20160911,2016,9,11
2017-12-27,20171227,2017,12,27
2018-05-21,20180521,2018,5,21
2016-11-09,20161109,2016,11,9
2009-03-22,20090322,2009,3,22
2014-03-15,20140315,2014,3,15
2017-01-29,20170129,2017,1,29
2018-03-09,20180309,2018,3,9
2017-09-06,20170906,2017,9,6
2011-12-26,20111226,2011,12,26
2014-02-02,20140202,2014,2,2
2017-11-23,20171123,2017,11,23
2018-02-25,20180225,2018,2,25
2018-03-20,20180320,2018,3,20
2017-10-07,20171007,2017,10,7
2018-04-20,20180420,2018,4,20
2016-06-06,20160606,2016,6,6
2018-06-01,20180601,2018,6,1
2017-10-25,20171025,2017,10,25
2017-11-27,20171127,2017,11,27
2017-12-21,20171221,2017,12,21
2018-01-07,20180107,2018,1,7
2018-01-10,20180110,2018,1,10
2018-02-03,20180203,2018,2,3
2018-03-10,20180310,2018,3,10
2017-08-13,20170813,2017,8,13
2016-11-16,20161116,2016,11,16
2017-04-21,20170421,2017,4,21
2015-05-17,20150517,2015,5,17
